,Country,Lat,Lon,Temperature,"""Feels Like""",Precipitaion,Cloudiness,Visiblity,Wind Speed,Local Time
88,Guatemala,14.621,-90.527,64,64,0.1,50,6,16,11/16/2020 19:23
89,French Guiana,4.933,-52.333,79,84,0,50,6,2,11/16/2020 22:23
90,Mexico,25.46,-108.075,95,93,0,0,6,6,11/16/2020 18:23
91,Guyana,6.8,-58.167,79,86,0,25,6,4,11/16/2020 21:23
92,Hong Kong,22.283,114.15,72,77,0,87,4,21,11/17/2020 9:23
93,Falkland Islands,-51.283,-60.55,45,37,0,50,6,25,11/16/2020 22:23
94,Honduras,14.1,-87.217,70,70,0,75,6,16,11/16/2020 19:23
95,Croatia,45.8,16,46,46,0.2,25,6,4,11/17/2020 2:23
96,Haiti,18.539,-72.335,82,90,0,0,5,2,11/16/2020 20:23
97,Hungary,47.5,19.083,43,41,0,0,3,4,11/17/2020 2:23
98,Indonesia,4.417,97.183,75,81,0,50,6,6,11/17/2020 8:23
99,Isle of Man,54.15,-4.483,55,50,0,100,6,23,11/17/2020 1:23
100,India,28.6,77.2,57,55,0,50,1,4,11/17/2020 6:53
101,Canada,52.35,-127.7,37,32,0,0,9,0,11/16/2020 17:23
102,Ireland,53.333,-6.249,55,52,0,75,6,16,11/17/2020 1:23
103,Philippines,8.003,124.284,72,72,0,17,6,2,11/17/2020 9:23
104,Iraq,33.339,44.394,57,57,0,0,5,0,11/17/2020 4:23
105,Iceland,64.15,-21.95,32,25,0,0,6,14,11/17/2020 1:23
106,Mexico,17.061,-92.074,70,70,0.1,74,4,3,11/16/2020 19:23
107,Italy,41.9,12.483,59,59,0.1,74,5,5,11/17/2020 2:23
108,Jamaica,18,-76.8,82,88,0,25,6,19,11/16/2020 20:23
109,Jersey,49.183,-2.1,55,50,0,100,6,19,11/17/2020 1:23
110,Jordan,31.95,35.933,52,52,0,0,3,0,11/17/2020 3:23
111,United States,38.22,-91.161,57,54,0,0,10,4,11/16/2020 19:24
112,Kazakhstan,51.181,71.428,0,-15,0,100,3,7,11/17/2020 7:24
113,Kenya,-1.283,36.817,63,63,0,25,6,4,11/17/2020 4:24
114,Cambodia,11.55,104.917,81,88,0,25,6,9,11/17/2020 8:24
115,Kiribati,-0.883,169.533,82,88,0,43,6,11,11/17/2020 13:24
116,Saint Kitts and Nevis,17.3,-62.717,79,84,0.1,79,6,19,11/16/2020 21:24
117,United States,41.142,-82.997,39,32,0,100,10,4,11/16/2020 20:24
118,Kuwait,29.37,47.978,68,68,0.1,0,4,9,11/17/2020 4:24
119,Laos,17.967,102.6,75,81,0,0,5,4,11/17/2020 8:24
120,Lebanon,33.872,35.51,64,64,0,0,6,9,11/17/2020 3:24
121,Liberia,6.311,-10.805,77,81,0,75,6,0,11/17/2020 1:24
122,Libya,32.893,13.18,68,68,0,11,6,4,11/17/2020 3:24
123,Saint Lucia,14,-61,79,84,0,75,6,4,11/16/2020 21:24
124,Liechtenstein,47.067,9.5,36,34,0,46,6,2,11/17/2020 2:24
125,Sri Lanka,8.9,80.834,73,79,0.2,93,4,1,11/17/2020 6:54
126,Lesotho,-29.317,27.483,64,64,0,65,6,6,11/17/2020 3:24
127,Lithuania,54.683,25.317,37,28,0,100,2,16,11/17/2020 3:24
128,Luxembourg,49.612,6.13,46,43,0,75,6,9,11/17/2020 2:24
129,Latvia,56.95,24.1,41,34,0,100,3,12,11/17/2020 3:24
130,Portugal,39.55,-8,50,50,0,0,6,2,11/17/2020 1:24
131,French Guiana,5,-54.433,77,82,0.3,73,4,4,11/16/2020 22:24
132,Morocco,34.025,-6.836,57,57,0,0,5,4,11/17/2020 2:24
133,Monaco,43.733,7.417,55,54,0,0,6,12,11/17/2020 2:24
134,United States,41.142,-82.997,39,32,0,100,10,4,11/16/2020 20:24
135,Madagascar,-18.917,47.517,59,59,0,25,6,4,11/17/2020 4:24
136,Maldives,4.167,73.5,81,88,0.3,100,6,23,11/17/2020 6:24
137,Mexico,19.429,-99.128,72,72,0,0,6,11,11/16/2020 19:21
138,Marshall Islands,7.1,171.383,82,90,0.3,100,15,9,11/17/2020 13:24
139,United States,31.325,-89.302,48,46,0,0,10,0,11/16/2020 19:24
140,Mali,12.65,-8,73,73,0,0,6,4,11/17/2020 1:24
141,Malta,35.9,14.515,61,61,0,0,6,4,11/17/2020 2:24
142,Myanmar,22.717,95.567,70,70,0,15,4,2,11/17/2020 7:54
143,Brazil,-29.7,-51.467,66,66,0.6,100,3,4,11/16/2020 22:24
144,Mongolia,47.917,106.917,14,14,0,50,6,0,11/17/2020 9:24
145,Malaysia,3.167,101.7,81,88,0,25,2,0,11/17/2020 9:24
146,Mozambique,-25.965,32.589,72,77,0,16,6,5,11/17/2020 3:24
147,Mauritania,18.086,-15.975,82,81,0,21,6,14,11/17/2020 1:24
148,Montserrat,16.7,-62.217,72,72,0,63,6,19,11/17/2020 1:24
149,Martinique,14.6,-61.083,79,84,0,50,6,8,11/16/2020 21:24
150,Mauritius,-20.162,57.499,72,77,0,75,6,6,11/17/2020 5:24
151,Malawi,-13.983,33.783,75,77,0,6,6,4,11/17/2020 3:24
152,Malaysia,3.167,101.7,81,88,0,25,2,0,11/17/2020 9:24
153,Mayotte,-12.779,45.227,77,81,0,37,6,8,11/17/2020 4:24
154,Namibia,-22.572,17.082,66,66,0,0,6,4,11/17/2020 3:24
155,New Caledonia,-22.267,166.45,77,81,0,2,6,11,11/17/2020 12:24
156,Niger,13.667,1.783,77,75,0,0,6,7,11/17/2020 2:24
157,Norfolk Island,-29.05,167.95,72,77,0,25,6,8,11/17/2020 13:24
158,Nigeria,9.176,7.181,72,73,0,0,6,4,11/17/2020 2:24
159,Nicaragua,12.151,-86.268,81,88,0.1,50,6,9,11/16/2020 19:24
160,Niue,-19.017,-169.917,84,97,0,75,6,11,11/16/2020 14:24
161,Netherlands Antilles,12.111,-68.919,81,86,0,25,6,8,11/16/2020 21:24
162,Norway,59.917,10.75,45,41,0,75,6,12,11/17/2020 2:24
163,Nepal,27.717,85.317,45,45,0,25,4,0,11/17/2020 7:09
164,Tanzania,-11.133,38.617,77,81,0,29,6,7,11/17/2020 4:24
165,New Zealand,-41.3,174.783,66,66,0,25,6,30,11/17/2020 14:24
166,Oman,23.613,58.593,72,77,0,0,6,6,11/17/2020 5:24
167,Pakistan,33.7,73.167,55,55,0,3,6,5,11/17/2020 6:24
168,Panama,8.967,-79.533,77,82,0.1,100,6,6,11/16/2020 20:24
169,Pitcairn Islands,-25.067,-130.083,75,77,0,80,6,9,11/16/2020 17:24
170,Peru,-12.05,-77.05,66,66,0,10,6,11,11/16/2020 20:24
171,Philippines,14.604,120.982,79,82,0,50,6,4,11/17/2020 9:24
172,Mexico,27.892,-101.423,73,75,0,0,6,7,11/16/2020 19:24
173,Papua New Guinea,-9.465,147.193,86,100,0,50,6,0,11/17/2020 11:24
174,Poland,52.25,21,39,34,0,25,3,2,11/17/2020 2:24
175,Argentina,-26.8,-55.033,73,77,0,0,6,6,11/16/2020 22:24
176,Laos,15.25,107.167,64,64,0,87,1,5,11/17/2020 8:24
177,Portugal,38.717,-9.133,55,55,0,75,3,4,11/17/2020 1:24
178,Paraguay,-25.267,-57.667,79,82,0,0,6,7,11/16/2020 22:24
179,Palestinian National Authority,32.1,35.033,59,61,0,0,6,0,11/17/2020 3:24
180,French Polynesia Islands,-17.75,-149.283,86,99,0,50,6,14,11/16/2020 15:24
181,Qatar,25.287,51.533,77,81,0,0,6,4,11/17/2020 4:24
182,Mexico,26.877,-106.947,72,73,0,8,6,5,11/16/2020 18:24
183,Romania,44.433,26.1,37,34,0,0,2,0,11/17/2020 3:24
184,Venezuela,10.5,-63.167,79,86,0,0,6,17,11/16/2020 21:24
185,Rwanda,-1.954,30.061,66,66,0.1,50,6,0,11/17/2020 3:24
186,Saudi Arabia,24.641,46.773,70,70,0,0,6,6,11/17/2020 4:24
187,Sudan,15.588,32.534,75,75,0,0,6,16,11/17/2020 3:24
188,Senegal,14.671,-17.438,81,84,0,0,5,4,11/17/2020 1:24
189,Singapore,1.293,103.856,84,95,0.2,75,6,6,11/17/2020 9:24
190,South Georgia and the South Sandwich Islands,-54.277,-36.512,34,23,0.1,75,3,15,11/16/2020 23:24
191,Saint Helena,-37.05,-12.3,57,54,0,71,6,17,11/17/2020 1:24
192,Mexico,29.847,-111.24,79,77,0,0,10,12,11/16/2020 18:24
193,Solomon Islands,-9.433,159.95,88,100,0,75,6,6,11/17/2020 12:24
194,Sierra Leone,8.49,-13.234,81,84,0,3,6,6,11/17/2020 1:24
195,El Salvador,13.709,-89.203,75,79,0,25,6,7,11/16/2020 19:24
196,San Marino,43.933,12.45,55,52,0,100,6,15,11/17/2020 2:24
197,Somalia,2.067,45.367,79,84,0,14,6,11,11/17/2020 4:24
198,Saint Pierre and Miquelon,46.767,-56.183,39,39,0,100,6,39,11/16/2020 21:24
199,Serbia,42.933,22.58,43,39,0,100,4,0,11/17/2020 3:24
200,United States,34.062,-102.524,52,50,0,0,10,0,11/16/2020 19:24
201,Sao Tome and Principe,0.333,6.733,79,84,0.1,88,6,11,11/17/2020 1:24
202,Suriname,5.833,-55.167,79,84,0,50,6,0,11/16/2020 22:24
203,Slovakia,48.15,17.117,46,45,0,0,6,8,11/17/2020 2:24
204,Slovenia,46.055,14.514,43,41,0.1,75,6,2,11/17/2020 2:24
205,Sweden,59.333,18.05,50,46,0,100,6,7,11/17/2020 2:24
206,Netherlands,52.773,4.746,54,48,0,100,2,21,11/17/2020 2:24
207,Seychelles,-4.667,55.5,81,86,0,25,6,6,11/17/2020 5:24
208,Russia,42.806,45.966,28,27,0,14,6,2,11/17/2020 4:24
209,Turks and Caicos Islands,21.467,-71.133,79,86,0,73,6,22,11/16/2020 20:24
210,Chad,12.113,15.049,66,66,0,0,5,7,11/17/2020 2:24
211,Togo,6.132,1.223,81,86,0,25,6,4,11/17/2020 1:25
212,Thailand,13.75,100.517,77,81,0,25,6,4,11/17/2020 8:25
213,Tajikistan,38.56,68.774,32,30,0,0,3,0,11/17/2020 6:25
214,Tokelau,-9.383,-171.25,82,90,0,90,6,11,11/17/2020 14:25
215,Turkmenistan,37.95,58.383,32,27,0,25,6,4,11/17/2020 6:25
216,Germany,51.75,8.6,45,39,0,45,6,10,11/17/2020 2:25
217,Tonga,-21.133,-175.2,77,81,0,100,6,11,11/17/2020 14:25
218,Trinidad and Tobago,10.65,-61.517,79,84,0,25,6,6,11/16/2020 21:25
219,Tunisia,36.803,10.18,66,66,0,50,6,9,11/17/2020 2:25
220,Turkey,39.927,32.864,30,30,0,0,6,4,11/17/2020 4:25
221,Tuvalu,-8.517,179.217,86,97,0,75,6,11,11/17/2020 13:25
222,China,32.325,118.763,64,64,0,25,2,4,11/17/2020 9:25
223,United States,41.142,-82.997,39,32,0,100,10,4,11/16/2020 20:25
224,Uganda,0.316,32.566,68,68,0,25,6,4,11/17/2020 4:25
225,Ukraine,50.433,30.517,27,18,0,100,6,9,11/17/2020 3:25
226,United States,38.132,-83.265,48,45,0,0,10,4,11/16/2020 20:25
227,Uruguay,-34.858,-56.171,64,64,0,8,6,7,11/16/2020 22:25
228,United States,40.218,-79.488,39,32,0,0,10,12,11/16/2020 20:20
229,Uzbekistan,41.317,69.25,32,30,0,100,6,7,11/17/2020 6:25
230,Vatican City,41.904,12.453,59,59,0.1,74,5,5,11/17/2020 2:25
231,Saint Vincent and the Grenadines,13.133,-61.217,81,86,0,84,6,17,11/16/2020 21:25
232,United States,18.379,-66.06,79,84,0,50,10,0,11/16/2020 21:25
233,United States Virgin Islands,18.433,-64.633,81,86,0,50,10,12,11/16/2020 21:25
234,United States Virgin Islands,18.433,-64.633,81,86,0,50,10,12,11/16/2020 21:25
235,Germany,52.95,8.483,46,41,0,49,6,11,11/17/2020 2:25
236,Vanuatu,-17.733,168.317,86,97,0,75,6,12,11/17/2020 12:25
237,Wallis and Futuna,-13.283,-176.2,81,86,0,75,6,4,11/17/2020 13:25
238,Samoa,-13.833,-171.733,79,82,0,75,6,6,11/17/2020 15:25
239,Yemen,15.355,44.207,55,55,0,0,6,2,11/17/2020 4:25
240,South Africa,-25.747,28.188,77,77,0,4,6,8,11/17/2020 3:25
241,Zambia,-15.417,28.283,73,75,0,3,6,4,11/17/2020 3:25
242,Zimbabwe,-17.818,31.045,68,68,0,4,6,8,11/17/2020 3:25
