"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","EDUADULT","UPPSRY","PC_25_64","A","2014",35.202309,
"AUS","EDUADULT","UPPSRY","PC_25_64","A","2015",36.130348,
"AUS","EDUADULT","UPPSRY","PC_25_64","A","2016",36.188747,
"AUS","EDUADULT","UPPSRY","PC_25_64","A","2017",35.631668,
"AUS","EDUADULT","UPPSRY","PC_25_64","A","2018",36.163879,
"AUS","EDUADULT","UPPSRY","PC_25_64","A","2019",35.737366,
"AUT","EDUADULT","BUPPSRY","PC_25_64","A","2004",23.66626,
"AUT","EDUADULT","BUPPSRY","PC_25_64","A","2005",23.055067,
"AUT","EDUADULT","BUPPSRY","PC_25_64","A","2006",19.871609,
"AUT","EDUADULT","BUPPSRY","PC_25_64","A","2007",20.062889,
"AUT","EDUADULT","BUPPSRY","PC_25_64","A","2008",19.120087,
"AUT","EDUADULT","BUPPSRY","PC_25_64","A","2009",18.354979,
"AUT","EDUADULT","BUPPSRY","PC_25_64","A","2010",17.647495,
"AUT","EDUADULT","BUPPSRY","PC_25_64","A","2011",17.636829,
"AUT","EDUADULT","BUPPSRY","PC_25_64","A","2012",17.08353,
"AUT","EDUADULT","BUPPSRY","PC_25_64","A","2013",17.028002,
"AUT","EDUADULT","BUPPSRY","PC_25_64","A","2014",16.143999,
"AUT","EDUADULT","BUPPSRY","PC_25_64","A","2015",15.351305,
"AUT","EDUADULT","BUPPSRY","PC_25_64","A","2016",15.471591,
"AUT","EDUADULT","BUPPSRY","PC_25_64","A","2017",15.037577,
"AUT","EDUADULT","BUPPSRY","PC_25_64","A","2018",14.702526,
"AUT","EDUADULT","BUPPSRY","PC_25_64","A","2019",14.435863,
"AUT","EDUADULT","TRY","PC_25_64","A","2004",24.783438,
"AUT","EDUADULT","TRY","PC_25_64","A","2005",24.639351,
"AUT","EDUADULT","TRY","PC_25_64","A","2006",25.356432,
"AUT","EDUADULT","TRY","PC_25_64","A","2007",25.092672,
"AUT","EDUADULT","TRY","PC_25_64","A","2008",26.191858,
"AUT","EDUADULT","TRY","PC_25_64","A","2009",26.895824,
"AUT","EDUADULT","TRY","PC_25_64","A","2010",27.743721,
"AUT","EDUADULT","TRY","PC_25_64","A","2011",27.956152,
"AUT","EDUADULT","TRY","PC_25_64","A","2012",28.739943,
"AUT","EDUADULT","TRY","PC_25_64","A","2013",29.738844,
"AUT","EDUADULT","TRY","PC_25_64","A","2014",29.904896,
"AUT","EDUADULT","TRY","PC_25_64","A","2015",30.550726,
"AUT","EDUADULT","TRY","PC_25_64","A","2016",31.383963,
"AUT","EDUADULT","TRY","PC_25_64","A","2017",32.39439,
"AUT","EDUADULT","TRY","PC_25_64","A","2018",32.711426,
"AUT","EDUADULT","TRY","PC_25_64","A","2019",33.773777,
"AUT","EDUADULT","UPPSRY","PC_25_64","A","2004",51.550304,
"AUT","EDUADULT","UPPSRY","PC_25_64","A","2005",52.305584,
"AUT","EDUADULT","UPPSRY","PC_25_64","A","2006",54.771961,
"AUT","EDUADULT","UPPSRY","PC_25_64","A","2007",54.844437,
"AUT","EDUADULT","UPPSRY","PC_25_64","A","2008",54.688057,
"AUT","EDUADULT","UPPSRY","PC_25_64","A","2009",54.749195,
"AUT","EDUADULT","UPPSRY","PC_25_64","A","2010",54.608784,
"AUT","EDUADULT","UPPSRY","PC_25_64","A","2011",54.407017,
"AUT","EDUADULT","UPPSRY","PC_25_64","A","2012",54.176529,
"AUT","EDUADULT","UPPSRY","PC_25_64","A","2013",53.233154,
"AUT","EDUADULT","UPPSRY","PC_25_64","A","2014",53.951103,
"AUT","EDUADULT","UPPSRY","PC_25_64","A","2015",54.097969,
"AUT","EDUADULT","UPPSRY","PC_25_64","A","2016",53.144444,
"AUT","EDUADULT","UPPSRY","PC_25_64","A","2017",52.568035,
"AUT","EDUADULT","UPPSRY","PC_25_64","A","2018",52.586048,
"AUT","EDUADULT","UPPSRY","PC_25_64","A","2019",51.790359,
"BEL","EDUADULT","BUPPSRY","PC_25_64","A","2000",41.47678,
"BEL","EDUADULT","BUPPSRY","PC_25_64","A","2001",40.536442,
"BEL","EDUADULT","BUPPSRY","PC_25_64","A","2002",39.196617,
"BEL","EDUADULT","BUPPSRY","PC_25_64","A","2003",37.952141,
"BEL","EDUADULT","BUPPSRY","PC_25_64","A","2004",35.708241,
"BEL","EDUADULT","BUPPSRY","PC_25_64","A","2005",33.903755,
"BEL","EDUADULT","BUPPSRY","PC_25_64","A","2006",33.057926,
"BEL","EDUADULT","BUPPSRY","PC_25_64","A","2007",32.046577,
"BEL","EDUADULT","BUPPSRY","PC_25_64","A","2008",30.423817,
"BEL","EDUADULT","BUPPSRY","PC_25_64","A","2009",29.427107,
"BEL","EDUADULT","BUPPSRY","PC_25_64","A","2010",29.500488,
"BEL","EDUADULT","BUPPSRY","PC_25_64","A","2011",28.733294,
"BEL","EDUADULT","BUPPSRY","PC_25_64","A","2012",28.356371,
"BEL","EDUADULT","BUPPSRY","PC_25_64","A","2013",27.241648,
"BEL","EDUADULT","BUPPSRY","PC_25_64","A","2014",26.44935,
"BEL","EDUADULT","BUPPSRY","PC_25_64","A","2015",25.322903,
"BEL","EDUADULT","BUPPSRY","PC_25_64","A","2016",24.905834,
"BEL","EDUADULT","BUPPSRY","PC_25_64","A","2017",23.202787,
"BEL","EDUADULT","BUPPSRY","PC_25_64","A","2018",21.773218,
"BEL","EDUADULT","BUPPSRY","PC_25_64","A","2019",21.313864,
"BEL","EDUADULT","TRY","PC_25_64","A","2000",27.084993,
"BEL","EDUADULT","TRY","PC_25_64","A","2001",27.626753,
"BEL","EDUADULT","TRY","PC_25_64","A","2002",28.134819,
"BEL","EDUADULT","TRY","PC_25_64","A","2003",29.031809,
"BEL","EDUADULT","TRY","PC_25_64","A","2004",30.40086,
"BEL","EDUADULT","TRY","PC_25_64","A","2005",31.045088,
"BEL","EDUADULT","TRY","PC_25_64","A","2006",31.754845,
"BEL","EDUADULT","TRY","PC_25_64","A","2007",32.094864,
"BEL","EDUADULT","TRY","PC_25_64","A","2008",32.310043,
"BEL","EDUADULT","TRY","PC_25_64","A","2009",33.397053,
"BEL","EDUADULT","TRY","PC_25_64","A","2010",34.989502,
"BEL","EDUADULT","TRY","PC_25_64","A","2011",34.612984,
"BEL","EDUADULT","TRY","PC_25_64","A","2012",35.316551,
"BEL","EDUADULT","TRY","PC_25_64","A","2013",35.535332,
"BEL","EDUADULT","TRY","PC_25_64","A","2014",36.855022,
"BEL","EDUADULT","TRY","PC_25_64","A","2015",36.857422,
"BEL","EDUADULT","TRY","PC_25_64","A","2016",37.503956,
"BEL","EDUADULT","TRY","PC_25_64","A","2017",40.257053,
"BEL","EDUADULT","TRY","PC_25_64","A","2018",40.638546,
"BEL","EDUADULT","TRY","PC_25_64","A","2019",40.67009,
"BEL","EDUADULT","UPPSRY","PC_25_64","A","2000",31.438227,
"BEL","EDUADULT","UPPSRY","PC_25_64","A","2001",31.836805,
"BEL","EDUADULT","UPPSRY","PC_25_64","A","2002",32.668564,
"BEL","EDUADULT","UPPSRY","PC_25_64","A","2003",33.016048,
"BEL","EDUADULT","UPPSRY","PC_25_64","A","2004",33.8909,
"BEL","EDUADULT","UPPSRY","PC_25_64","A","2005",35.051159,
"BEL","EDUADULT","UPPSRY","PC_25_64","A","2006",35.187229,
"BEL","EDUADULT","UPPSRY","PC_25_64","A","2007",35.858559,
"BEL","EDUADULT","UPPSRY","PC_25_64","A","2008",37.26614,
"BEL","EDUADULT","UPPSRY","PC_25_64","A","2009",37.175842,
"BEL","EDUADULT","UPPSRY","PC_25_64","A","2010",35.51001,
"BEL","EDUADULT","UPPSRY","PC_25_64","A","2011",36.653725,
"BEL","EDUADULT","UPPSRY","PC_25_64","A","2012",36.32708,
"BEL","EDUADULT","UPPSRY","PC_25_64","A","2013",37.223022,
"BEL","EDUADULT","UPPSRY","PC_25_64","A","2014",36.695625,
"BEL","EDUADULT","UPPSRY","PC_25_64","A","2015",37.819675,
"BEL","EDUADULT","UPPSRY","PC_25_64","A","2016",37.59021,
"BEL","EDUADULT","UPPSRY","PC_25_64","A","2017",36.540157,
"BEL","EDUADULT","UPPSRY","PC_25_64","A","2018",37.588238,
"BEL","EDUADULT","UPPSRY","PC_25_64","A","2019",38.016045,
"CAN","EDUADULT","BUPPSRY","PC_25_64","A","2000",19.332481,
"CAN","EDUADULT","BUPPSRY","PC_25_64","A","2001",18.011751,
"CAN","EDUADULT","BUPPSRY","PC_25_64","A","2002",17.321903,
"CAN","EDUADULT","BUPPSRY","PC_25_64","A","2003",16.267523,
"CAN","EDUADULT","BUPPSRY","PC_25_64","A","2004",15.686501,
"CAN","EDUADULT","BUPPSRY","PC_25_64","A","2005",14.816504,
"CAN","EDUADULT","BUPPSRY","PC_25_64","A","2006",14.457152,
"CAN","EDUADULT","BUPPSRY","PC_25_64","A","2007",13.494848,
"CAN","EDUADULT","BUPPSRY","PC_25_64","A","2008",13.003522,
"CAN","EDUADULT","BUPPSRY","PC_25_64","A","2009",12.468069,
"CAN","EDUADULT","BUPPSRY","PC_25_64","A","2010",11.736887,
"CAN","EDUADULT","BUPPSRY","PC_25_64","A","2011",11.368477,
"CAN","EDUADULT","BUPPSRY","PC_25_64","A","2012",11.035321,
"CAN","EDUADULT","BUPPSRY","PC_25_64","A","2013",10.45779,
"CAN","EDUADULT","BUPPSRY","PC_25_64","A","2014",10.011459,
"CAN","EDUADULT","BUPPSRY","PC_25_64","A","2015",9.5978909,
"CAN","EDUADULT","BUPPSRY","PC_25_64","A","2016",9.3911886,
"CAN","EDUADULT","BUPPSRY","PC_25_64","A","2017",8.8729382,
"CAN","EDUADULT","BUPPSRY","PC_25_64","A","2018",8.3779144,
"CAN","EDUADULT","BUPPSRY","PC_25_64","A","2019",8.1420355,
"CAN","EDUADULT","TRY","PC_25_64","A","2000",40.105782,
"CAN","EDUADULT","TRY","PC_25_64","A","2001",41.881519,
"CAN","EDUADULT","TRY","PC_25_64","A","2002",42.873188,
"CAN","EDUADULT","TRY","PC_25_64","A","2003",44.123833,
"CAN","EDUADULT","TRY","PC_25_64","A","2004",44.548969,
"CAN","EDUADULT","TRY","PC_25_64","A","2005",45.976749,
"CAN","EDUADULT","TRY","PC_25_64","A","2006",46.881516,
"CAN","EDUADULT","TRY","PC_25_64","A","2007",48.181564,
"CAN","EDUADULT","TRY","PC_25_64","A","2008",48.706802,
"CAN","EDUADULT","TRY","PC_25_64","A","2009",49.290722,
"CAN","EDUADULT","TRY","PC_25_64","A","2010",50.311695,
"CAN","EDUADULT","TRY","PC_25_64","A","2011",51.033012,
"CAN","EDUADULT","TRY","PC_25_64","A","2012",52.305416,
"CAN","EDUADULT","TRY","PC_25_64","A","2013",52.971439,
"CAN","EDUADULT","TRY","PC_25_64","A","2014",53.61496,
"CAN","EDUADULT","TRY","PC_25_64","A","2015",55.17366,
"CAN","EDUADULT","TRY","PC_25_64","A","2016",56.265068,
"CAN","EDUADULT","TRY","PC_25_64","A","2017",56.71452,
"CAN","EDUADULT","TRY","PC_25_64","A","2018",57.888363,
"CAN","EDUADULT","TRY","PC_25_64","A","2019",59.374844,
"CAN","EDUADULT","UPPSRY","PC_25_64","A","2000",40.561737,
"CAN","EDUADULT","UPPSRY","PC_25_64","A","2001",40.106728,
"CAN","EDUADULT","UPPSRY","PC_25_64","A","2002",39.804909,
"CAN","EDUADULT","UPPSRY","PC_25_64","A","2003",39.608646,
"CAN","EDUADULT","UPPSRY","PC_25_64","A","2004",39.76453,
"CAN","EDUADULT","UPPSRY","PC_25_64","A","2005",39.206749,
"CAN","EDUADULT","UPPSRY","PC_25_64","A","2006",38.661331,
"CAN","EDUADULT","UPPSRY","PC_25_64","A","2007",38.323586,
"CAN","EDUADULT","UPPSRY","PC_25_64","A","2008",38.289677,
"CAN","EDUADULT","UPPSRY","PC_25_64","A","2009",38.241207,
"CAN","EDUADULT","UPPSRY","PC_25_64","A","2010",37.95142,
"CAN","EDUADULT","UPPSRY","PC_25_64","A","2011",37.598511,
"CAN","EDUADULT","UPPSRY","PC_25_64","A","2012",36.659264,
"CAN","EDUADULT","UPPSRY","PC_25_64","A","2013",36.57077,
"CAN","EDUADULT","UPPSRY","PC_25_64","A","2014",36.373581,
"CAN","EDUADULT","UPPSRY","PC_25_64","A","2015",35.228447,
"CAN","EDUADULT","UPPSRY","PC_25_64","A","2016",34.343746,
"CAN","EDUADULT","UPPSRY","PC_25_64","A","2017",34.412544,
"CAN","EDUADULT","UPPSRY","PC_25_64","A","2018",33.733723,
"CAN","EDUADULT","UPPSRY","PC_25_64","A","2019",32.48312,
"CZE","EDUADULT","BUPPSRY","PC_25_64","A","2000",14.05798,
"CZE","EDUADULT","BUPPSRY","PC_25_64","A","2001",13.791635,
"CZE","EDUADULT","BUPPSRY","PC_25_64","A","2002",12.072922,
"CZE","EDUADULT","BUPPSRY","PC_25_64","A","2003",13.580705,
"CZE","EDUADULT","BUPPSRY","PC_25_64","A","2004",10.923604,
"CZE","EDUADULT","BUPPSRY","PC_25_64","A","2005",10.074598,
"CZE","EDUADULT","BUPPSRY","PC_25_64","A","2006",9.7202902,
"CZE","EDUADULT","BUPPSRY","PC_25_64","A","2007",9.4652252,
"CZE","EDUADULT","BUPPSRY","PC_25_64","A","2008",9.096694,
"CZE","EDUADULT","BUPPSRY","PC_25_64","A","2009",8.5971041,
"CZE","EDUADULT","BUPPSRY","PC_25_64","A","2010",8.0573692,
"CZE","EDUADULT","BUPPSRY","PC_25_64","A","2011",7.6677351,
"CZE","EDUADULT","BUPPSRY","PC_25_64","A","2012",7.5491762,
"CZE","EDUADULT","BUPPSRY","PC_25_64","A","2013",7.1797996,
"CZE","EDUADULT","BUPPSRY","PC_25_64","A","2014",6.8099089,
"CZE","EDUADULT","BUPPSRY","PC_25_64","A","2015",6.841207,
"CZE","EDUADULT","BUPPSRY","PC_25_64","A","2016",6.5732007,
"CZE","EDUADULT","BUPPSRY","PC_25_64","A","2017",6.2063141,
"CZE","EDUADULT","BUPPSRY","PC_25_64","A","2018",6.1394086,
"CZE","EDUADULT","BUPPSRY","PC_25_64","A","2019",6.2475748,
"CZE","EDUADULT","TRY","PC_25_64","A","2000",10.963162,
"CZE","EDUADULT","TRY","PC_25_64","A","2001",11.131626,
"CZE","EDUADULT","TRY","PC_25_64","A","2002",11.94141,
"CZE","EDUADULT","TRY","PC_25_64","A","2003",12.005664,
"CZE","EDUADULT","TRY","PC_25_64","A","2004",12.345678,
"CZE","EDUADULT","TRY","PC_25_64","A","2005",13.058269,
"CZE","EDUADULT","TRY","PC_25_64","A","2006",13.522043,
"CZE","EDUADULT","TRY","PC_25_64","A","2007",13.732669,
"CZE","EDUADULT","TRY","PC_25_64","A","2008",14.498895,
"CZE","EDUADULT","TRY","PC_25_64","A","2009",15.544437,
"CZE","EDUADULT","TRY","PC_25_64","A","2010",16.764982,
"CZE","EDUADULT","TRY","PC_25_64","A","2011",18.243177,
"CZE","EDUADULT","TRY","PC_25_64","A","2012",19.277992,
"CZE","EDUADULT","TRY","PC_25_64","A","2013",20.45986,
"CZE","EDUADULT","TRY","PC_25_64","A","2014",21.51013,
"CZE","EDUADULT","TRY","PC_25_64","A","2015",22.186741,
"CZE","EDUADULT","TRY","PC_25_64","A","2016",22.971544,
"CZE","EDUADULT","TRY","PC_25_64","A","2017",23.927534,
"CZE","EDUADULT","TRY","PC_25_64","A","2018",24.262077,
"CZE","EDUADULT","TRY","PC_25_64","A","2019",24.212393,
"CZE","EDUADULT","UPPSRY","PC_25_64","A","2000",74.978859,
"CZE","EDUADULT","UPPSRY","PC_25_64","A","2001",75.076736,
"CZE","EDUADULT","UPPSRY","PC_25_64","A","2002",75.985672,
"CZE","EDUADULT","UPPSRY","PC_25_64","A","2003",74.413628,
"CZE","EDUADULT","UPPSRY","PC_25_64","A","2004",76.730721,
"CZE","EDUADULT","UPPSRY","PC_25_64","A","2005",76.867134,
"CZE","EDUADULT","UPPSRY","PC_25_64","A","2006",76.757668,
"CZE","EDUADULT","UPPSRY","PC_25_64","A","2007",76.802109,
"CZE","EDUADULT","UPPSRY","PC_25_64","A","2008",76.404411,
"CZE","EDUADULT","UPPSRY","PC_25_64","A","2009",75.858459,
"CZE","EDUADULT","UPPSRY","PC_25_64","A","2010",75.17765,
"CZE","EDUADULT","UPPSRY","PC_25_64","A","2011",74.089088,
"CZE","EDUADULT","UPPSRY","PC_25_64","A","2012",73.172829,
"CZE","EDUADULT","UPPSRY","PC_25_64","A","2013",72.360344,
"CZE","EDUADULT","UPPSRY","PC_25_64","A","2014",71.679962,
"CZE","EDUADULT","UPPSRY","PC_25_64","A","2015",70.972054,
"CZE","EDUADULT","UPPSRY","PC_25_64","A","2016",70.455254,
"CZE","EDUADULT","UPPSRY","PC_25_64","A","2017",69.86615,
"CZE","EDUADULT","UPPSRY","PC_25_64","A","2018",69.598511,
"CZE","EDUADULT","UPPSRY","PC_25_64","A","2019",69.540031,
"DNK","EDUADULT","BUPPSRY","PC_25_64","A","2000",20.218884,
"DNK","EDUADULT","BUPPSRY","PC_25_64","A","2001",19.33378,
"DNK","EDUADULT","BUPPSRY","PC_25_64","A","2002",18.908283,
"DNK","EDUADULT","BUPPSRY","PC_25_64","A","2003",19.446814,
"DNK","EDUADULT","BUPPSRY","PC_25_64","A","2004",18.778183,
"DNK","EDUADULT","BUPPSRY","PC_25_64","A","2005",18.983217,
"DNK","EDUADULT","BUPPSRY","PC_25_64","A","2006",18.359888,
"DNK","EDUADULT","BUPPSRY","PC_25_64","A","2007",25.721992,
"DNK","EDUADULT","BUPPSRY","PC_25_64","A","2008",24.899332,
"DNK","EDUADULT","BUPPSRY","PC_25_64","A","2009",24.137625,
"DNK","EDUADULT","BUPPSRY","PC_25_64","A","2010",23.289925,
"DNK","EDUADULT","BUPPSRY","PC_25_64","A","2011",22.021439,
"DNK","EDUADULT","BUPPSRY","PC_25_64","A","2012",21.165937,
"DNK","EDUADULT","BUPPSRY","PC_25_64","A","2013",20.812916,
"DNK","EDUADULT","BUPPSRY","PC_25_64","A","2014",20.446318,
"DNK","EDUADULT","BUPPSRY","PC_25_64","A","2015",19.62863,
"DNK","EDUADULT","BUPPSRY","PC_25_64","A","2016",19.726067,
"DNK","EDUADULT","BUPPSRY","PC_25_64","A","2017",19.052462,
"DNK","EDUADULT","BUPPSRY","PC_25_64","A","2018",18.940752,
"DNK","EDUADULT","BUPPSRY","PC_25_64","A","2019",18.410515,
"DNK","EDUADULT","TRY","PC_25_64","A","2000",25.777601,
"DNK","EDUADULT","TRY","PC_25_64","A","2001",28.41186,
"DNK","EDUADULT","TRY","PC_25_64","A","2002",29.61084,
"DNK","EDUADULT","TRY","PC_25_64","A","2003",31.847263,
"DNK","EDUADULT","TRY","PC_25_64","A","2004",32.848095,
"DNK","EDUADULT","TRY","PC_25_64","A","2005",33.544121,
"DNK","EDUADULT","TRY","PC_25_64","A","2006",34.719662,
"DNK","EDUADULT","TRY","PC_25_64","A","2007",30.903458,
"DNK","EDUADULT","TRY","PC_25_64","A","2008",31.126369,
"DNK","EDUADULT","TRY","PC_25_64","A","2009",32.001427,
"DNK","EDUADULT","TRY","PC_25_64","A","2010",33.002644,
"DNK","EDUADULT","TRY","PC_25_64","A","2011",33.662952,
"DNK","EDUADULT","TRY","PC_25_64","A","2012",34.639698,
"DNK","EDUADULT","TRY","PC_25_64","A","2013",35.204632,
"DNK","EDUADULT","TRY","PC_25_64","A","2014",35.800922,
"DNK","EDUADULT","TRY","PC_25_64","A","2015",37.095581,
"DNK","EDUADULT","TRY","PC_25_64","A","2016",37.766045,
"DNK","EDUADULT","TRY","PC_25_64","A","2017",38.889214,
"DNK","EDUADULT","TRY","PC_25_64","A","2018",39.44791,
"DNK","EDUADULT","TRY","PC_25_64","A","2019",40.353836,
"DNK","EDUADULT","UPPSRY","PC_25_64","A","2000",54.003513,
"DNK","EDUADULT","UPPSRY","PC_25_64","A","2001",52.25436,
"DNK","EDUADULT","UPPSRY","PC_25_64","A","2002",51.480877,
"DNK","EDUADULT","UPPSRY","PC_25_64","A","2003",48.705925,
"DNK","EDUADULT","UPPSRY","PC_25_64","A","2004",48.373722,
"DNK","EDUADULT","UPPSRY","PC_25_64","A","2005",47.472664,
"DNK","EDUADULT","UPPSRY","PC_25_64","A","2006",46.920448,
"DNK","EDUADULT","UPPSRY","PC_25_64","A","2007",43.37455,
"DNK","EDUADULT","UPPSRY","PC_25_64","A","2008",43.974297,
"DNK","EDUADULT","UPPSRY","PC_25_64","A","2009",43.86095,
"DNK","EDUADULT","UPPSRY","PC_25_64","A","2010",43.707432,
"DNK","EDUADULT","UPPSRY","PC_25_64","A","2011",44.315609,
"DNK","EDUADULT","UPPSRY","PC_25_64","A","2012",44.194366,
"DNK","EDUADULT","UPPSRY","PC_25_64","A","2013",43.982452,
"DNK","EDUADULT","UPPSRY","PC_25_64","A","2014",43.752758,
"DNK","EDUADULT","UPPSRY","PC_25_64","A","2015",43.275791,
"DNK","EDUADULT","UPPSRY","PC_25_64","A","2016",42.507889,
"DNK","EDUADULT","UPPSRY","PC_25_64","A","2017",42.058323,
"DNK","EDUADULT","UPPSRY","PC_25_64","A","2018",41.61134,
"DNK","EDUADULT","UPPSRY","PC_25_64","A","2019",41.235649,
"FIN","EDUADULT","BUPPSRY","PC_25_64","A","2000",26.837576,
"FIN","EDUADULT","BUPPSRY","PC_25_64","A","2003",23.959745,
"FIN","EDUADULT","BUPPSRY","PC_25_64","A","2004",22.375042,
"FIN","EDUADULT","BUPPSRY","PC_25_64","A","2005",21.212481,
"FIN","EDUADULT","BUPPSRY","PC_25_64","A","2006",20.363401,
"FIN","EDUADULT","BUPPSRY","PC_25_64","A","2007",19.490316,
"FIN","EDUADULT","BUPPSRY","PC_25_64","A","2008",18.926767,
"FIN","EDUADULT","BUPPSRY","PC_25_64","A","2009",18.026873,
"FIN","EDUADULT","BUPPSRY","PC_25_64","A","2010",17.01717,
"FIN","EDUADULT","BUPPSRY","PC_25_64","A","2011",16.27569,
"FIN","EDUADULT","BUPPSRY","PC_25_64","A","2012",15.202716,
"FIN","EDUADULT","BUPPSRY","PC_25_64","A","2013",14.109433,
"FIN","EDUADULT","BUPPSRY","PC_25_64","A","2014",13.493114,
"FIN","EDUADULT","BUPPSRY","PC_25_64","A","2015",12.847135,
"FIN","EDUADULT","BUPPSRY","PC_25_64","A","2016",12.091855,
"FIN","EDUADULT","BUPPSRY","PC_25_64","A","2017",11.896179,
"FIN","EDUADULT","BUPPSRY","PC_25_64","A","2018",10.926194,
"FIN","EDUADULT","BUPPSRY","PC_25_64","A","2019",9.7360916,
"FIN","EDUADULT","TRY","PC_25_64","A","2000",32.614372,
"FIN","EDUADULT","TRY","PC_25_64","A","2003",33.177582,
"FIN","EDUADULT","TRY","PC_25_64","A","2004",34.184566,
"FIN","EDUADULT","TRY","PC_25_64","A","2005",34.629433,
"FIN","EDUADULT","TRY","PC_25_64","A","2006",35.141739,
"FIN","EDUADULT","TRY","PC_25_64","A","2007",36.357056,
"FIN","EDUADULT","TRY","PC_25_64","A","2008",36.583557,
"FIN","EDUADULT","TRY","PC_25_64","A","2009",37.268574,
"FIN","EDUADULT","TRY","PC_25_64","A","2010",38.146343,
"FIN","EDUADULT","TRY","PC_25_64","A","2011",39.318207,
"FIN","EDUADULT","TRY","PC_25_64","A","2012",39.661289,
"FIN","EDUADULT","TRY","PC_25_64","A","2013",40.545231,
"FIN","EDUADULT","TRY","PC_25_64","A","2014",41.776676,
"FIN","EDUADULT","TRY","PC_25_64","A","2015",42.742619,
"FIN","EDUADULT","TRY","PC_25_64","A","2016",43.595264,
"FIN","EDUADULT","TRY","PC_25_64","A","2017",44.304253,
